Query, Refcode,DIST1 
3,YGGTAW,1.896
3,EMGUQD,2.222
3,UQFDDJ,1.947
3,ZIZIBS,1.965
3,PGGZVU,2.197
3,DSVZIW,1.876
3,OBKRZU,1.896
3,TNLZKD,1.907
3,GPGQQL,1.872
3,EDIVPE,1.879
3,HSWPNN,1.913
3,LYKMRL,1.944
3,AQMQFC,1.931
3,YAXQCI,1.944
3,VUSVNU,1.889
3,QKBTKI,1.821
3,GORZJP,1.917
3,DQHMNG,1.878
3,FOMJWF,1.888
3,LSALFP,1.895
3,EHGGBA,1.905
3,VQUDGL,1.889
3,HZYJHA,1.912
3,CENGGM,1.930
3,PACIWJ,1.952
3,OKBJSM,1.901
3,YRMANG,1.872
3,ZOAFND,1.839
3,KARCUW,1.921
3,PSJPHY,1.878
3,GCAGNS,1.887
3,VCPKHV,2.222
3,XMQMZW,1.963
3,FLHLPZ,2.220
3,EWINVU,1.963
3,QRHDRE,1.896
3,RZDLII,1.869
3,TUJIRM,2.000
3,DQNNLJ,2.142
3,VGAZPG,1.986
3,XOCGGN,2.149
3,QDJFDT,1.884
3,XHFSIV,1.860
3,EJOACJ,1.972
3,PVURSX,2.015
3,FVCLBM,2.115
3,HHFNNV,2.209
3,RTLXAK,1.909
3,VXWXVO,1.864
3,VJNUDA,2.190
3,EWBDUJ,1.968
3,WFXMFS,2.209
3,LWFCIY,1.963
3,BBVGRL,2.090
3,GFYGMM,2.115
3,DVYGLF,2.137
3,UENWDL,2.126
3,CVIMDG,2.196
3,TVYZSO,2.206
3,SDIDYQ,1.908
3,XIMYZN,1.895
3,ULKZTH,2.247
3,TEQSSQ,1.962
3,SYJEDR,2.158
3,KTXWRJ,1.958
3,NVFAKX,1.892
3,DQIRJS,1.852
3,OUBFAR,1.959
3,LLHFCQ,2.072
3,JAJVSA,1.953
3,XHWPJC,2.181
3,ZUXUUR,1.895
3,DKBYTX,1.853
3,ZBPCZM,2.183
3,QDSBBO,2.211
3,EIXBWA,1.984
3,ETEEPM,1.934
3,QKBIMT,2.345
3,GGJVZQ,2.244
3,ZQQVVV,2.148
3,GHSUKS,2.107
3,JFJKUS,2.136
3,UZBYCB,2.240
3,NYYDYX,2.339
3,LAQIUO,2.148
3,MGSMUK,2.135
3,HGYZVG,2.114
3,EFEUAZ,2.137
3,YBEAAQ,2.146
3,MADAET,2.107
3,HAKTUD,2.341
3,VPFHYQ,2.238
3,AWTUET,1.863
3,PPZYTQ,2.065
3,VJVOSU,2.101
3,SCRWNF,2.037
3,DFYXEI,2.072
3,JEFTDM,1.866
3,SHASIP,2.091
3,BNOIYI,2.065
3,ITZLAZ,2.063
3,RLUIIH,2.083
3,GXHXBD,2.033
3,JIEVQA,2.096
3,GXZNYV,2.130
3,ZXKOHT,2.140
3,FHEZKF,2.090
3,BJUWDS,1.951
3,XLXLTJ,1.899
3,NWQZBK,1.850
3,VKNGXL,2.208
3,MBIIUL,2.251
3,WZAVMO,2.066
3,JIYSYD,2.069
3,ZRJPUN,2.241
3,XNYFZF,2.215
3,TUOLFA,2.205
3,IJMMBG,2.180
3,HEJRKF,2.228
3,BCYEDE,2.168
3,ZMCCBJ,2.126
3,MLCHTJ,2.149
3,RAVVEN,2.136
3,EJGMKV,2.095
3,ZFQOZO,2.165
3,ZMOYST,2.205
3,KJZXAV,2.208
3,UHSHTK,2.203
3,TBVDAV,2.252
3,ZVVRFY,2.088
3,GYUOLX,2.094
3,HHWDMX,2.089
3,SFIAIZ,2.062
3,INCIBZ,2.119
3,AWJHQM,2.123
3,PGMRPF,2.118
3,RTIDUT,2.184
3,UWCFJX,2.265
3,BLQZFO,2.226
3,UZNWMQ,2.132
3,OPULTO,2.129
3,QDZXZI,2.180
3,TYNQZR,2.128
3,DPKPCH,1.965
3,UJKKIO,1.893
3,ZBAAQB,1.886
3,YZDYMX,2.383
3,CWRPTE,2.229
3,KWJEQZ,2.154
3,QJGGMV,2.120
3,YKNJEH,2.188
3,NCKEWC,2.210
3,WAQTOG,2.144
3,TRJLKE,2.219
3,WINBDA,2.153
3,NAVJQE,2.222
3,RLCDEI,2.122
3,BQTKCD,2.124
3,MRNXZY,2.397
3,MZJWGI,1.899
3,UTIOLW,1.855
3,NTOPCP,1.924
3,RQFOUD,1.896
3,HCLMKH,1.910
3,QEEEEQ,1.910
3,GRVGMN,1.896
3,HTAPWF,1.868
3,GIWRZS,2.276
3,XDBCGO,2.270
3,FXKUSX,2.180
3,JIPKWZ,2.377
3,HGZYXA,2.259
3,BWKSQC,2.208
3,ZCUJDH,2.202
3,QQVTHP,2.148
3,DOPUJU,2.185
3,LTXHGN,2.160
3,QIKQFY,2.153
3,JNMTQU,2.202
3,TNDSIA,2.183
3,WDETTV,2.203
3,JSVDJH,2.184
3,MDFAZD,2.155
3,VXNWJQ,2.159
3,SVCJZR,2.165
3,SUTOPH,2.159
3,SAZSMY,2.191
3,WKWRHM,2.209
3,AEVCMQ,2.210
3,UWMZJY,2.162
3,JHTQRD,2.185
3,FIAOVG,2.178
3,OJOCIM,2.158
3,WSSTYF,2.202
3,NJMMKB,2.183
3,BSTSKL,2.153
3,RKRHEP,2.141
3,GNDOTL,2.197
3,SMCVWU,2.153
3,XYRHYW,2.165
3,TLDJRK,2.260
3,LTGLXB,2.239
3,GPPUWD,2.159
3,DKKKUX,2.105
3,OOEUGT,1.958
3,FBFAUJ,1.870
3,CZCIXU,1.910
3,ASFFTW,2.103
3,PKKUJN,1.888
3,DHGPQQ,2.397
3,ZUNYLR,1.932
3,MXKGRV,1.862
3,KJSQXB,2.205
3,NPPXUM,1.886
3,NPJTPK,1.911
3,QDCNMO,1.861
3,HBHVGK,2.188
3,JNZUTL,2.395
3,ZOVYKM,1.960
3,RZHZHU,1.878
3,ATEDHV,1.926
3,XDVRZZ,2.112
3,YHGEHP,1.891
3,GFGLXI,2.420
3,JFANRN,1.922
3,OWPLKN,1.856
3,PMXUPW,2.211
3,PMFBXP,1.883
3,FGZDCJ,1.906
3,XKJCEB,1.856
3,RDLNKF,2.198
3,XUFNYO,2.395
3,KDEMLT,1.951
3,YZAVKU,1.861
3,SCQTFU,1.934
3,DHWARZ,2.103
3,WGTHGN,1.899
3,RCCZBC,2.388
3,RAXUSU,1.928
3,TOODDC,1.856
3,JSJXWW,2.215
3,ZBPGLB,1.883
3,HUYTBP,1.897
3,BXRGJE,1.860
3,CJKQWE,2.190
3,AQJDFC,2.388
3,ESLELM,1.959
3,EIDHQR,2.487
3,RXBLEG,1.890
3,BBSJDQ,1.917
3,QMOHZS,2.032
3,FPZPTW,1.875
3,BWVTIG,2.387
3,ZEALFW,1.955
3,YYFYQE,1.865
3,WBFAKO,2.141
3,FVWADJ,1.872
3,QUJRVI,1.888
3,WKONZV,1.847
3,BMWJUY,2.107
3,VXJCYZ,2.396
3,ZXUXLK,1.941
3,DNLMPZ,1.875
3,BXUONZ,1.898
3,LUJIMK,2.148
3,MXSFEG,1.886
3,OOTZFD,2.460
3,MQTCQD,1.918
3,LCNRQP,1.860
3,BLPWYY,2.225
3,XHITVA,1.885
3,UPXTPH,1.928
3,FKGEGE,1.867
3,JZDVCV,2.215
3,UAOVGQ,2.279
3,MKAHKD,1.943
3,FNSXFQ,2.482
3,LOFSIV,1.876
3,GKGDJD,1.913
3,BPZKFO,2.116
3,JXIAYJ,1.878
3,OTNOTH,2.462
3,AEYAGP,1.916
3,ZEWKEQ,1.855
3,RMWPBL,2.212
3,AFFZXU,1.881
3,MBAEJF,1.911
3,ZLEMTC,1.883
3,RVOTBA,2.252
3,FUDFIF,2.260
3,BQESSH,2.231
3,KBSFHM,1.924
3,RPCKMF,1.970
3,UXHTFA,2.030
3,PPQRBV,1.849
3,DRWKOU,2.278
3,MXUDOC,1.909
3,CKRUNC,1.952
3,FDRLYJ,1.864
3,ZGHEFX,2.361
3,LBMFVP,1.856
3,CDIBBO,2.279
3,UBRIFH,1.912
3,POELDI,1.955
3,VKMFPB,2.147
3,FXUUAA,2.263
3,GBSKPQ,1.860
3,NFQQBD,1.912
3,LQPQQN,2.279
3,MIBSXN,1.956
3,OUOVKL,1.860
3,CQDJLB,2.180
3,RMPZQW,2.352
3,YSGBBQ,1.921
3,PHAGUP,1.974
3,MVISAE,2.209
3,APBVRL,1.895
3,FKIDCQ,2.080
3,QEOMDW,2.396
3,MZMYVW,1.921
3,XGPZCB,2.209
3,VQKHGB,1.975
3,GCXMGB,1.895
3,TOFIMJ,1.969
3,UJRRWB,1.906
3,DIMQFT,2.272
3,MWVYCI,1.950
3,RSLOEE,1.854
3,OJZLPO,2.411
3,UMZKTE,2.102
3,PQZPBZ,2.085
3,FOVGAE,2.101
3,BXWMGR,2.088
3,FDHPPB,2.232
3,LKEMXO,2.084
3,QZBSDC,2.228
3,FFOBRM,2.087
3,GMKUZO,2.190
3,XQSPPY,2.213
3,IFWZDU,2.109
3,FNYFAR,2.168
3,NLNHIT,2.168
3,ZVBDQE,2.144
3,OLLXFX,2.139
3,MNVDUH,2.156
3,XUQUAP,2.170
3,WANWQC,2.002
3,SUCYJZ,2.023
3,PVCWUV,1.941
3,AAPBXC,2.148
3,KCDVAW,2.135
3,JFKYQB,2.148
3,JLKZGD,2.135
3,UNLFOK,2.165
3,UJCSVA,2.156
3,DZNIWR,2.152
3,JOQGLN,2.134
3,MPQNYL,2.246
3,QAIQHA,2.293
3,IZPDIU,2.202
3,LRFKKT,2.265
3,KFHOCX,1.944
3,SHKPFX,1.874
3,BHJBQZ,1.925
3,MXIWNT,1.876
3,GKWOVV,1.938
3,RJPQCJ,1.889
3,VFPXZL,2.223
3,DMBBOJ,2.306
3,FJQACB,2.209
3,BUWXMI,2.241
3,RXOTNN,1.944
3,OHDCPK,1.877
3,GEIOVE,1.930
3,XLWWCM,1.877
3,JMICWT,1.938
3,VCUEVR,1.883
3,CQYJJZ,2.180
3,FIKZAF,2.147
3,KFPFJM,2.165
3,UVYANH,2.225
3,GIVTJV,2.124
3,IWOJIS,2.174
3,MOILOB,2.149
3,UUNJGY,2.182
3,OCZRCP,2.229
3,ENWSRX,2.165
3,DMYREB,2.124
3,YVHVUS,2.169
3,YMKRVN,2.203
3,XEPSAR,2.178
3,BLXYMX,2.197
3,HPBMIY,2.180
3,XWHSZP,2.199
3,FIBYLI,2.170
3,DZMPEL,2.192
3,GVPHJQ,2.174
3,YJXKQR,2.237
3,ABHNVC,2.247
3,NFNBAU,2.102
3,AUBCYM,2.088
3,SHRVQK,2.169
3,IMBELV,2.271
3,SRFOBT,2.180
3,DEXHOQ,2.342
3,XPHSKH,2.112
3,HCNUBZ,2.120
3,YDNJBG,2.154
3,AZLPJP,2.134
3,UUOIHY,2.209
3,MTZUPX,2.211
3,OFZSHB,2.415
3,KEYVBH,2.243
3,CLPHPG,2.133
3,PAYMVX,2.129
3,BCSHFE,2.242
3,GGUWBR,2.129
3,RUCBHU,2.131
3,MZXIHX,2.126
3,SPUJAI,2.145
3,UYVNAY,2.152
3,VXYICZ,2.168
3,HSFQUU,2.182
3,XBSZGY,2.181
3,KIKRCH,2.128
3,RZUBIL,2.087
3,BHLMOI,1.785
3,BMTWHI,2.028
3,DTYVIA,1.791
3,YDHDKD,1.990
3,AGGPYR,1.802
3,KAIOGK,1.824
3,KINUXR,1.766
3,KPODRR,2.222
3,ZKWJFT,1.987
3,RVCKEK,1.999
3,LUWVIK,1.984
3,MRGMAV,2.001
3,ULVTXC,2.040
3,PRWVUJ,2.043
3,KCMNAU,1.989
3,RZARHV,1.968
3,RZIDOO,1.977
3,XHYAOR,1.999
3,PPKGSP,2.039
3,OXISVB,2.043
3,HHJHMW,1.979
3,AHSQIV,1.968
3,ECMVYL,2.002
3,LBAVWC,1.985
3,SMMOMU,2.038
3,POAGRE,2.071
3,UDRTVQ,1.976
3,GLRRMZ,1.971
3,GFGZNX,2.000
3,TRKVMS,1.997
3,ZVRTYV,2.082
3,AKIWSD,2.023
3,QNCJKU,1.975
3,KMQNFP,1.993
3,UGRTYN,1.978
3,YJNXVZ,2.002
3,ORGEKT,2.066
3,QCPXUE,2.040
3,TNIUMV,2.173
3,MUNSLD,1.928
3,IZTJKL,1.934
3,KLAIBP,1.907
3,ZQGQKA,1.899
3,JUFBMQ,1.851
3,RAPRTT,1.885
3,JDKMYZ,2.276
3,KBSAUO,1.935
3,YHYNUQ,1.993
3,MOGQIP,2.225
3,LDEDGH,1.854
3,ECKDSA,1.881
3,CNCHMV,2.309
3,ENRAFJ,1.934
3,FFOEHO,1.992
3,RRDRLA,2.234
3,QRNGXO,1.881
3,AGUFVL,1.874
3,UKVJYU,2.259
3,SHCNLE,1.962
3,WREIHB,1.948
3,BZJAWS,2.125
3,GGPCPG,1.865
3,FYJDYP,1.870
3,CGUTZC,2.131
3,CUUGFD,1.954
3,VCNEIE,1.946
3,XFHIHI,1.888
3,JWTZQI,1.872
3,TTDGLV,2.254
3,CWKCPD,1.963
3,FFSKTB,1.939
3,CPGQLA,2.106
3,MVAQQO,1.862
3,KRJPSM,1.876
3,XSRSQL,2.123
3,NFDMMK,1.957
3,PGRWUR,1.947
3,QRBXKR,1.874
3,SXXQTC,1.860
3,KWENMQ,1.919
3,JSFAZM,2.055
3,OSUQWH,1.935
3,HCECJB,1.879
3,UWBNPN,1.855
3,PXLJIX,1.930
3,WCNNTI,2.052
3,AZIPAN,1.922
3,ZBNYWK,2.011
3,KIPSZW,1.934
3,ZPGNOZ,1.935
3,AEDNTD,1.896
3,PJLNYW,1.882
3,TDMBEE,1.780
3,IYEQIB,2.022
3,QJNEZA,1.940
3,VUGWYT,1.929
3,DCGIHY,1.882
3,MVYIGH,1.888
3,JHJIMG,1.778
3,LYBDIR,2.026
3,EIHUIB,1.954
3,MEZYNG,1.946
3,CRARGM,1.881
3,VSOIPB,1.865
3,LWNDJA,1.778
3,ELNHTR,2.462
3,ZPCARZ,2.073
3,NRUMYC,2.075
3,XRIYBR,2.050
3,IZZNDT,2.023
3,ZEAUXQ,2.398
3,RDXIKF,2.007
3,YUNIAC,1.995
3,WJDMAH,1.919
3,SXFOLV,1.927
3,XOWVVL,2.489
3,GIWLYL,2.051
3,HZZVXD,2.075
3,JUREDU,1.997
3,PUGBHT,2.039
